cluster_id,Univ,State,SAT,Top10,Accept,SFRatio,Expenses,GradRate
0,Brown,RI,1310.0,89,22,13.0,22704,94.0
0,CalTech,CA,1415.0,100,25,6.0,63575,81.0
1,CMU,PA,1260.0,62,59,9.0,25026,72.0
0,Columbia,NY,1310.0,76,24,12.0,31510,
0,Cornell,NY,1280.0,83,33,13.0,21864,90.0
0,Dartmouth,NH,1340.0,89,23,10.0,32162,95.0
0,Duke,NC,1315.0,90,30,12.0,31585,95.0
0,Georgetown,DC,,74,24,12.0,20126,92.0
0,Harvard,MA,1400.0,91,14,11.0,39525,97.0
0,JohnsHopkins,MD,1305.0,75,44,7.0,58691,87.0
0,MIT,MA,1380.0,94,30,10.0,34870,91.0
0,Northwestern,IL,1260.0,85,39,11.0,28052,89.0
0,NotreDame,IN,1255.0,81,42,13.0,15122,94.0
1,PennState,PA,1081.0,38,54,18.0,10185,80.0
0,Princeton,NJ,1375.0,91,14,8.0,30220,95.0
1,Purdue,IN,1005.0,28,90,19.0,9066,69.0
0,Stanford,CA,1360.0,90,20,12.0,36450,93.0
1,TexasA&M,TX,1075.0,49,67,25.0,8704,67.0
0,UCBerkeley,CA,1240.0,95,40,17.0,15140,78.0
0,UChicago,IL,1290.0,75,50,,38380,87.0
1,UMichigan,MI,1180.0,65,68,16.0,15470,85.0
0,UPenn,PA,1285.0,80,36,11.0,27553,90.0
0,UVA,VA,1225.0,77,44,14.0,13349,92.0
1,UWisconsin,WI,1085.0,40,69,15.0,11857,71.0
0,Yale,CT,1375.0,95,19,11.0,43514,96.0
